Asset_Y,Asset_X,Hedge_Ratio,ADF_p_value
EICHERMOT.NS,MARUTI.NS,1.3504981178945166,1.4034104634956647e-05
GRASIM.NS,HINDALCO.NS,0.9094732562823543,0.00010279822566874953
BAJFINANCE.NS,KOTAKBANK.NS,2.484277615124675,0.0003345989176954825
ADANIPORTS.NS,ULTRACEMCO.NS,1.235148117481904,0.0006037449338301702
HDFCBANK.NS,ICICIBANK.NS,0.43554902352809977,0.0006415111226825535
GRASIM.NS,TATASTEEL.NS,0.8190802826579086,0.0009116135889225335
HDFCBANK.NS,KOTAKBANK.NS,1.137163465375638,0.0009333310968659024
AXISBANK.NS,SBIN.NS,0.5817322545411925,0.0009955419995172196
ADANIPORTS.NS,HINDALCO.NS,0.9643153578108815,0.0010819456054103436
JSWSTEEL.NS,TATASTEEL.NS,0.9664470331104221,0.0012193280804816823
HINDALCO.NS,JSWSTEEL.NS,0.8971704128044977,0.001521435279466828
APOLLOHOSP.NS,HCLTECH.NS,1.3148224027743984,0.0016710350194549285
AXISBANK.NS,LT.NS,0.5930014407921638,0.0017528028171443367
ADANIPORTS.NS,GRASIM.NS,1.0431056832435828,0.0018188727850045763
HINDUNILVR.NS,TATACONSUM.NS,0.31683612500489017,0.0018465460441888454
HINDALCO.NS,TECHM.NS,1.1610182337915018,0.002048984125319708
HINDUNILVR.NS,RELIANCE.NS,0.4878773643858306,0.002050600703223539
EICHERMOT.NS,M&M.NS,0.6002711761362837,0.0021126368664007977
MARUTI.NS,SHRIRAMFIN.NS,0.5204747062992405,0.0022841036163961767
BAJAJFINSV.NS,KOTAKBANK.NS,2.1836716605013224,0.002344659383429288
HDFCBANK.NS,ULTRACEMCO.NS,0.5296021426233946,0.0023898730006008595
BAJAJFINSV.NS,TECHM.NS,1.039458582132608,0.0025055179309720283
HCLTECH.NS,ULTRACEMCO.NS,1.2054261520224663,0.002699985178969347
HDFCLIFE.NS,KOTAKBANK.NS,0.8645817611631014,0.0027930330381689393
HINDALCO.NS,TATASTEEL.NS,0.8902196284909117,0.0028147303881882134
INFY.NS,TCS.NS,1.2734079196003583,0.0029045707825133622
HINDUNILVR.NS,KOTAKBANK.NS,0.9517192037200755,0.0030927709234449194
TECHM.NS,ULTRACEMCO.NS,0.9589911721779631,0.0031654826455111435
HDFCLIFE.NS,TATACONSUM.NS,0.27800637346213025,0.0033582176435644506
GRASIM.NS,JSWSTEEL.NS,0.8250585462965536,0.0036598162295509496
CIPLA.NS,HCLTECH.NS,0.7576348648812329,0.003681574652595761
EICHERMOT.NS,SHRIRAMFIN.NS,0.7274361340978185,0.003914710080232121
KOTAKBANK.NS,WIPRO.NS,0.4251717689676989,0.0039160498015442585
BAJFINANCE.NS,INFY.NS,1.0552676827584342,0.003917783661239572
BAJFINANCE.NS,HCLTECH.NS,0.8872743695039624,0.003953480928529798
HINDUNILVR.NS,NESTLEIND.NS,0.5645247230940544,0.0041391965475354505
DRREDDY.NS,RELIANCE.NS,0.8677329146638918,0.0042187451747141705
HDFCBANK.NS,TECHM.NS,0.5177867635877531,0.004359681795672332
RELIANCE.NS,TATACONSUM.NS,0.6476690475516277,0.004595200755356561
ADANIPORTS.NS,JSWSTEEL.NS,0.8749078080491537,0.004654813077534306
BAJAJFINSV.NS,HDFCBANK.NS,1.8517131073829398,0.004766677527772167
BHARTIARTL.NS,SBILIFE.NS,1.6168725662514098,0.004779671947857618
APOLLOHOSP.NS,TECHM.NS,1.5786350326040914,0.005116182694791655
BAJFINANCE.NS,HDFCBANK.NS,2.0321255157184703,0.00528897800180491
BAJAJFINSV.NS,HCLTECH.NS,0.8218257906724772,0.00544147117950225
HDFCBANK.NS,SBILIFE.NS,0.6217113273103205,0.005600289220095367
SUNPHARMA.NS,ULTRACEMCO.NS,1.2004614375815459,0.005721050782882217
GRASIM.NS,TECHM.NS,1.0457921676381767,0.006065556241962089
APOLLOHOSP.NS,INFY.NS,1.4994569660805932,0.0065894620008922124
NESTLEIND.NS,RELIANCE.NS,0.8599827875298398,0.006685696999034602
APOLLOHOSP.NS,BAJAJFINSV.NS,1.4320441841793345,0.006893954898256896
LT.NS,SBIN.NS,0.9525587638930123,0.006960190402942393
ADANIPORTS.NS,HCLTECH.NS,0.9619175041445207,0.006988847056768351
DRREDDY.NS,NESTLEIND.NS,0.9617629028307053,0.007216499360160166
KOTAKBANK.NS,TATASTEEL.NS,0.24258539411977745,0.007291893521059503
POWERGRID.NS,SUNPHARMA.NS,1.0028339461457958,0.007674742284207148
KOTAKBANK.NS,TATACONSUM.NS,0.27197637560719545,0.007687188737577385
APOLLOHOSP.NS,BAJFINANCE.NS,1.3115663770959636,0.008182132764554834
BAJFINANCE.NS,DRREDDY.NS,1.19295535448035,0.008583368035555913
ICICIBANK.NS,TITAN.NS,0.9499911443546122,0.008592977287225446
BAJFINANCE.NS,HINDUNILVR.NS,2.10646956862561,0.008602922992750086
BEL.NS,SUNPHARMA.NS,1.7236714435176332,0.008875340921538521
HDFCBANK.NS,HINDALCO.NS,0.39788842069037733,0.009146899485955288
HINDUNILVR.NS,TCS.NS,0.5616307765890899,0.009160552113730836
HCLTECH.NS,HDFCBANK.NS,2.042659508640134,0.009225285862636592
BAJAJFINSV.NS,INFY.NS,0.9595368231489879,0.009294385222898379
ADANIPORTS.NS,CIPLA.NS,1.2235736977888896,0.009363703147684255
ADANIPORTS.NS,TECHM.NS,1.152260750523307,0.009446885146474251
AXISBANK.NS,INDIGO.NS,0.5070843164861466,0.009857813312534951
APOLLOHOSP.NS,TATACONSUM.NS,1.14803154878753,0.009868309492867659
KOTAKBANK.NS,SBILIFE.NS,0.4627729611402261,0.009982560546723921
BAJAJ-AUTO.NS,INDIGO.NS,0.9134461273326767,0.010091219972707965
ADANIPORTS.NS,TATASTEEL.NS,0.861419194116148,0.010511667308937276
AXISBANK.NS,NTPC.NS,0.49081917508430184,0.010544972676727318
KOTAKBANK.NS,TECHM.NS,0.3883443122135204,0.011133334990122496
HINDUNILVR.NS,INFY.NS,0.4268737808510855,0.011181878804268752
HINDUNILVR.NS,ICICIBANK.NS,0.34864019739963575,0.01120392237028284
RELIANCE.NS,TCS.NS,1.108392500658424,0.011365621922651845
DRREDDY.NS,HINDUNILVR.NS,1.5321102994919937,0.011598445872712979
TATASTEEL.NS,TECHM.NS,1.2634819176247012,0.011721506589098965
M&M.NS,MARUTI.NS,2.148530575317732,0.011872874432629384
HCLTECH.NS,ICICIBANK.NS,0.9618632426400701,0.011883478142395598
HDFCBANK.NS,TITAN.NS,0.4105047386971653,0.01188642489618714
ADANIPORTS.NS,SBIN.NS,1.0310683972955499,0.011938111531720155
APOLLOHOSP.NS,HDFCBANK.NS,2.759215779719001,0.012003525164053194
KOTAKBANK.NS,RELIANCE.NS,0.41407935091579956,0.012020791065202605
HDFCBANK.NS,SBIN.NS,0.43101149133474503,0.012211403256935777
HINDUNILVR.NS,TATASTEEL.NS,0.2539043771727647,0.012249704048878433
AXISBANK.NS,ONGC.NS,0.568573356626591,0.01238132804781255
BAJAJFINSV.NS,CIPLA.NS,0.9713598034040426,0.012638416700574076
KOTAKBANK.NS,ULTRACEMCO.NS,0.3702778730926707,0.012865240300179569
BAJFINANCE.NS,CIPLA.NS,1.0260059112078612,0.012899331975392796
APOLLOHOSP.NS,TITAN.NS,1.2749103680940523,0.01291624274655423
KOTAKBANK.NS,TITAN.NS,0.3056573832098734,0.012984956482069588
HDFCBANK.NS,TATASTEEL.NS,0.3515185801719391,0.013135585336457608
CIPLA.NS,ULTRACEMCO.NS,0.9349371547725109,0.013212424118499808
INDIGO.NS,ULTRACEMCO.NS,1.2148274125137635,0.013329814933600137
GRASIM.NS,SUNPHARMA.NS,0.8924806259232421,0.013705351321591792
BAJAJFINSV.NS,JSWSTEEL.NS,0.7489265383562845,0.013880832414588153
MARUTI.NS,SUNPHARMA.NS,0.4746748876122011,0.013926614734970923
LT.NS,NTPC.NS,0.8489642571943325,0.013984927043050165
HDFCBANK.NS,JSWSTEEL.NS,0.37406207648012907,0.01402753614069001
HINDALCO.NS,SBIN.NS,1.0288055237647002,0.014038543760186036
HCLTECH.NS,TITAN.NS,0.9398397725698806,0.014327172589498314
KOTAKBANK.NS,TCS.NS,0.4821206646783645,0.01435602478332568
BAJFINANCE.NS,TATACONSUM.NS,0.776222846561879,0.014528625806888032
BAJFINANCE.NS,TECHM.NS,1.1045914903961376,0.014554066948146267
KOTAKBANK.NS,SBIN.NS,0.2969644199617152,0.014599557379543571
INFY.NS,TATACONSUM.NS,0.7086525983940055,0.014906630134450823
AXISBANK.NS,POWERGRID.NS,0.5020330376222413,0.015024127015050364
APOLLOHOSP.NS,ULTRACEMCO.NS,1.6022509885656926,0.015289940548544571
HINDALCO.NS,ULTRACEMCO.NS,1.20903937577466,0.01607605411162607
ADANIPORTS.NS,SUNPHARMA.NS,0.963469844617922,0.016080727843397865
POWERGRID.NS,ULTRACEMCO.NS,1.2376071528565569,0.01638470607911409
APOLLOHOSP.NS,KOTAKBANK.NS,3.1017209854631065,0.016386769833630327
ADANIENT.NS,INFY.NS,2.857224594609095,0.01659772474858003
BEL.NS,EICHERMOT.NS,2.25010659893509,0.01662496516565569
APOLLOHOSP.NS,RELIANCE.NS,1.6530662796769695,0.016811747520676937
JSWSTEEL.NS,SUNPHARMA.NS,1.0346180118382842,0.016815272270828782
INFY.NS,TATASTEEL.NS,0.659540431185813,0.016895777772031793
AXISBANK.NS,BEL.NS,0.2858290836671706,0.01762029470429756
ADANIPORTS.NS,APOLLOHOSP.NS,0.7159428249812196,0.01814039900130699
HINDUNILVR.NS,SBIN.NS,0.30264081402024734,0.018302997090994956
HINDUNILVR.NS,SUNPHARMA.NS,0.2925678963146121,0.018613929947251858
BEL.NS,MARUTI.NS,3.048354575918599,0.01873385632271363
HINDUNILVR.NS,SBILIFE.NS,0.5099441839315828,0.018884415597363903
HCLTECH.NS,HINDALCO.NS,0.9085980049186935,0.019033773474314813
KOTAKBANK.NS,NESTLEIND.NS,0.4581095528598458,0.019580598721451254
INDIGO.NS,POWERGRID.NS,0.9438385645053874,0.01981984570945733
BEL.NS,POWERGRID.NS,1.6876815338400866,0.01994619648341285
BAJFINANCE.NS,ULTRACEMCO.NS,1.0747617254702244,0.019961568998590525
ADANIPORTS.NS,BEL.NS,0.5437589675538144,0.01996576241940429
APOLLOHOSP.NS,TCS.NS,1.9186890242013181,0.02044166330097601
BEL.NS,INDIGO.NS,1.6625120198132244,0.020680070146344046
INFY.NS,KOTAKBANK.NS,2.01915317097201,0.020734361454823547
SBIN.NS,TECHM.NS,1.0424491603990733,0.02086934570112089
AXISBANK.NS,ULTRACEMCO.NS,0.6504825016472516,0.021233337631017184
HDFCLIFE.NS,TECHM.NS,0.3569247285350585,0.02142413510491978
INFY.NS,WIPRO.NS,1.1349475458920528,0.021523708649596473
BAJAJ-AUTO.NS,POWERGRID.NS,0.9200750920970495,0.021559798503726163
BAJFINANCE.NS,WIPRO.NS,1.194872852448831,0.021613261057279072
ADANIENT.NS,BAJAJFINSV.NS,2.693802905064504,0.021650646976235966
HDFCBANK.NS,INDIGO.NS,0.3948076678217275,0.021657181527032957
BAJFINANCE.NS,GRASIM.NS,0.8412148745225314,0.021882725072537388
BAJAJFINSV.NS,HINDALCO.NS,0.8054757882821943,0.02225518240531887
SBIN.NS,SUNPHARMA.NS,0.880314167965628,0.022741930102031207
BAJFINANCE.NS,TATASTEEL.NS,0.7269852838628313,0.022835319881160967
TITAN.NS,ULTRACEMCO.NS,1.218670901876702,0.022842722283370708
BAJAJFINSV.NS,SUNPHARMA.NS,0.7628925507434469,0.02285499712823868
BAJAJFINSV.NS,TATASTEEL.NS,0.7214697113771559,0.022990255304778377
ADANIENT.NS,TCS.NS,3.6710470926652183,0.02314126607389424
BAJFINANCE.NS,SUNPHARMA.NS,0.7797073540931114,0.023165667352484827
HCLTECH.NS,TECHM.NS,1.1866306934519704,0.023791605657767664
ADANIPORTS.NS,POWERGRID.NS,0.9444666116677238,0.023793607110174187
BAJAJFINSV.NS,TITAN.NS,0.8316979474984205,0.024536953959318233
CIPLA.NS,SUNPHARMA.NS,0.7614537211058707,0.025442122806766398
NESTLEIND.NS,TATACONSUM.NS,0.5669568898953042,0.02555780994904161
CIPLA.NS,HDFCBANK.NS,1.5055628847872236,0.025612746687916545
HINDUNILVR.NS,JSWSTEEL.NS,0.2814810959431853,0.02599622126199475
ASIANPAINT.NS,HINDUNILVR.NS,1.5254618288958224,0.02616622624747755
INFY.NS,RELIANCE.NS,1.0580515416263139,0.02662739815359908
HDFCLIFE.NS,ULTRACEMCO.NS,0.36162173379088053,0.027010946093048886
TECHM.NS,TITAN.NS,0.7507862561589511,0.027066681738604992
AXISBANK.NS,COALINDIA.NS,0.4747731010356933,0.027479854694455397
BAJFINANCE.NS,BEL.NS,0.43294512768166643,0.027801308428191097
ADANIPORTS.NS,INDIGO.NS,0.9220229558587678,0.028321216465763025
NESTLEIND.NS,SBILIFE.NS,0.9325557375217612,0.02837812910379022
BAJFINANCE.NS,ICICIBANK.NS,0.9124892563822691,0.028381306362586598
DRREDDY.NS,TATACONSUM.NS,0.5828477444191891,0.028486711190669346
HDFCBANK.NS,SUNPHARMA.NS,0.3864595456425134,0.028580433927724715
HINDUNILVR.NS,ULTRACEMCO.NS,0.3989916521910602,0.028582443625797694
HINDUNILVR.NS,POWERGRID.NS,0.2876990139272977,0.028759481323402895
BAJAJFINSV.NS,ICICIBANK.NS,0.8534518924626051,0.02884457762352372
HCLTECH.NS,SBILIFE.NS,1.3964708955428076,0.029416943537835357
AXISBANK.NS,HINDALCO.NS,0.4997633599703176,0.029565661350683954
LT.NS,POWERGRID.NS,0.870648018953758,0.029641477784540494
BEL.NS,M&M.NS,1.4198713542204529,0.02967234996760694
BEL.NS,ULTRACEMCO.NS,2.1246815133844503,0.03003033600352147
CIPLA.NS,TECHM.NS,0.8755452279814596,0.03024760784109271
HDFCBANK.NS,INFY.NS,0.47667548288718226,0.030372064758118725
SBIN.NS,ULTRACEMCO.NS,1.1224137065272233,0.030545666114808353
ADANIPORTS.NS,TITAN.NS,0.9340595343149236,0.0308773537504158
HINDUNILVR.NS,MARUTI.NS,0.3546416850048875,0.03089647646341958
ICICIBANK.NS,TECHM.NS,1.1538971353910672,0.030921597631764636
POWERGRID.NS,TRENT.NS,0.5316338964602683,0.03122178318852339
ADANIENT.NS,HINDUNILVR.NS,5.525275750495622,0.031389404624054866
GRASIM.NS,HCLTECH.NS,0.8574521623135438,0.03151436588680146
SBIN.NS,TITAN.NS,0.861704210166157,0.031662811800948765
BAJAJFINSV.NS,SBIN.NS,0.867356322820519,0.031765544736743964
AXISBANK.NS,BAJAJ-AUTO.NS,0.5161618068001308,0.03219149171276437
BAJAJFINSV.NS,GRASIM.NS,0.8443648604679105,0.03232065352893562
JSWSTEEL.NS,TECHM.NS,1.2744384547005587,0.03233497889427946
TCS.NS,ULTRACEMCO.NS,0.7245283847139745,0.032369051196870585
BAJFINANCE.NS,TITAN.NS,0.8841518718856893,0.03248776693414836
KOTAKBANK.NS,SUNPHARMA.NS,0.25496652946470677,0.0326173204108644
BAJFINANCE.NS,SBIN.NS,0.8761447127524021,0.033112306805120215
AXISBANK.NS,GRASIM.NS,0.5413784562624583,0.03338366665274688
TCS.NS,WIPRO.NS,0.8414740407207976,0.033850049051195305
ASIANPAINT.NS,KOTAKBANK.NS,1.5659641808373566,0.03408810108765909
BAJAJ-AUTO.NS,BEL.NS,0.528908381122271,0.034137431938822606
MARUTI.NS,NTPC.NS,0.46564021675336087,0.03430300944466882
HCLTECH.NS,TATACONSUM.NS,0.8449595646620661,0.034357937400630326
ADANIPORTS.NS,ICICIBANK.NS,0.967278842377201,0.034513255740473266
HCLTECH.NS,SUNPHARMA.NS,0.9367971365901443,0.03470416302445287
HCLTECH.NS,TATASTEEL.NS,0.8115399259853201,0.03474625380265773
HINDUNILVR.NS,TITAN.NS,0.3403728767443995,0.034834679396513524
ICICIBANK.NS,SBILIFE.NS,1.4277356473541325,0.035419162449513604
HINDUNILVR.NS,WIPRO.NS,0.4406316353469765,0.03548520786197975
APOLLOHOSP.NS,TATASTEEL.NS,1.1040592713657953,0.035502744180586625
HDFCLIFE.NS,WIPRO.NS,0.3960012834245015,0.03552592184837554
LT.NS,ONGC.NS,0.9745069287238826,0.035839053131264134
HINDUNILVR.NS,TRENT.NS,0.17046478140458438,0.035991374698812285
GRASIM.NS,HDFCBANK.NS,1.8073777043106554,0.03610641722430842
APOLLOHOSP.NS,HINDALCO.NS,1.2245435523983357,0.036597280638320115
ADANIPORTS.NS,BAJAJ-AUTO.NS,0.9710971492698953,0.036942500807861926
APOLLOHOSP.NS,GRASIM.NS,1.2970479487222564,0.03790863656555972
BAJAJ-AUTO.NS,TRENT.NS,0.5007000148181195,0.037984032553735725
BAJFINANCE.NS,NESTLEIND.NS,1.27691693694977,0.03822343186286649
BAJFINANCE.NS,SBILIFE.NS,1.3138697959830512,0.03840279355453749
ADANIPORTS.NS,SBILIFE.NS,1.4114482283491394,0.038636196944001534
SBILIFE.NS,ULTRACEMCO.NS,0.7918052468835555,0.038793519661280224
KOTAKBANK.NS,POWERGRID.NS,0.2557447270322897,0.03882639021540673
HDFCLIFE.NS,INDIGO.NS,0.27094869368639046,0.03896364943316996
DRREDDY.NS,TCS.NS,0.974367112765108,0.039024322693468935
JSWSTEEL.NS,SBIN.NS,1.1013346999791596,0.039398436047417044
INDIGO.NS,LT.NS,1.0426152453500082,0.03946172171999633
JSWSTEEL.NS,ULTRACEMCO.NS,1.316241589980396,0.03975765880903803
BAJAJFINSV.NS,BEL.NS,0.424494651208246,0.039920643730710956
ADANIPORTS.NS,HDFCBANK.NS,2.01283495576089,0.04002927913343896
KOTAKBANK.NS,TRENT.NS,0.1458477837032118,0.040680270578733954
ICICIBANK.NS,ULTRACEMCO.NS,1.2033061868105925,0.041037504618612934
APOLLOHOSP.NS,SBILIFE.NS,1.8852207824907783,0.041240311712026745
HINDUNILVR.NS,M&M.NS,0.20435386672801165,0.041259636629408174
HINDUNILVR.NS,NTPC.NS,0.22730312113144455,0.0412618211767339
AXISBANK.NS,M&M.NS,0.4146915041133149,0.04135749056129342
HCLTECH.NS,SBIN.NS,0.952642619447998,0.041869519580373805
MARUTI.NS,ONGC.NS,0.5457671491193463,0.04232245513351626
HDFCLIFE.NS,TRENT.NS,0.14663384576906904,0.042385182124472995
HDFCLIFE.NS,HINDALCO.NS,0.25092027272630085,0.042427427767183765
BAJFINANCE.NS,RELIANCE.NS,1.1717844350336786,0.04253948975792369
AXISBANK.NS,SHRIRAMFIN.NS,0.5300284269648573,0.04257987658700557
INDIGO.NS,SBIN.NS,1.0004236311412966,0.042608811059898326
INFY.NS,ULTRACEMCO.NS,0.9460244221325995,0.04277641456244678
HINDALCO.NS,TITAN.NS,0.9146269285441158,0.0428021740437461
INDIGO.NS,SBILIFE.NS,1.4022039289097727,0.04297013177175965
HINDUNILVR.NS,ONGC.NS,0.19370429662818844,0.042987380512185605
HDFCLIFE.NS,TATASTEEL.NS,0.2197097418965549,0.04309484385642967
AXISBANK.NS,EICHERMOT.NS,0.6346815822187477,0.04310429258950379
BAJAJFINSV.NS,HINDUNILVR.NS,1.8166354336082804,0.04311030084998008
SBILIFE.NS,TITAN.NS,0.624641780672912,0.04335488415460161
BAJFINANCE.NS,HINDALCO.NS,0.8145908231631414,0.04366911427810182
CIPLA.NS,GRASIM.NS,0.7818676811039543,0.04368432006870854
INDIGO.NS,TRENT.NS,0.511372938933152,0.04410950521052861
NESTLEIND.NS,ULTRACEMCO.NS,0.7388695660365666,0.04414270664504796
ADANIPORTS.NS,AXISBANK.NS,1.5546711795356938,0.04440222159622063
INFY.NS,SBIN.NS,0.7412768891451719,0.044545829447300615
AXISBANK.NS,SUNPHARMA.NS,0.49001140230846574,0.04483879519839859
LT.NS,SUNPHARMA.NS,0.8742309979932782,0.045199632450012864
BAJFINANCE.NS,BHARTIARTL.NS,0.7119549771927149,0.045928929548095236
HDFCLIFE.NS,SUNPHARMA.NS,0.24662231076787314,0.04604836917745868
SUNPHARMA.NS,TRENT.NS,0.5065149136213999,0.04606095249471979
KOTAKBANK.NS,MARUTI.NS,0.36394196305401316,0.046959104355471036
HDFCLIFE.NS,HINDUNILVR.NS,0.7280754448324973,0.047266271462326516
NESTLEIND.NS,ONGC.NS,0.4281653108892764,0.04747083460158969
CIPLA.NS,SBIN.NS,0.745600515222537,0.04784707857361407
NESTLEIND.NS,SBIN.NS,0.5643569490391283,0.04837840674466837
BAJAJFINSV.NS,DRREDDY.NS,1.033197835961083,0.048853353203572834
ADANIPORTS.NS,EICHERMOT.NS,1.200956677001417,0.0489844850468388
ASIANPAINT.NS,TCS.NS,0.9465808429973468,0.04921521343020559
CIPLA.NS,POWERGRID.NS,0.717247635011356,0.04941152559267694
ONGC.NS,SHRIRAMFIN.NS,0.8452264256259425,0.04947508971691038
HDFCLIFE.NS,NESTLEIND.NS,0.4481186809065023,0.0494984134332489
AXISBANK.NS,TECHM.NS,0.5987137953701118,0.049694235225410555
